国,犬種,サイズ,グループ,特徴,画像ファイル名
日本,秋田犬,大型犬,原始の犬/スピッツ,忠誠心が強く落ち着いた性格。,akita.jpg
日本,柴犬,中型犬,原始の犬/スピッツ,独立心があり活発で忠実。,shiba.jpg
日本,紀州犬,中型犬,原始の犬/スピッツ,猟犬として優れ、静かで我慢強い。,kishu.jpg
ドイツ,ジャーマン・シェパード,大型犬,使役犬,知能が高く警察犬としても活躍。,gsd.jpg
ドイツ,ダックスフント,小型犬,テリア/ダックス,短足で胴長、活発で好奇心旺盛。,dachshund.jpg
ドイツ,ロットワイラー,大型犬,使役犬,力強く勇敢で警備向き。,rottweiler.jpg
イギリス,ラブラドール・レトリーバー,大型犬,鳥猟犬,家庭犬や盲導犬として人気。,labrador.jpg
イギリス,ジャック・ラッセル・テリア,小型犬,テリア/ダックス,小さいがエネルギッシュ。,jackrussell.jpg
アメリカ,アメリカン・ピット・ブル・テリア,中型犬,その他,筋肉質で勇敢。正しい訓練が重要。,pitbull.jpg
アメリカ,アラスカン・マラミュート,大型犬,原始の犬/スピッツ,そり引き犬として活躍。友好的で力強い。,malamute.jpg
中国,チャウチャウ,中型犬,原始の犬/スピッツ,ライオンのような外見で無口。,chowchow.jpg
中国,ペキニーズ,小型犬,愛玩犬,ふわふわで愛らしく、落ち着きがある。,pekingese.jpg